ticker,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
GE,General Electric,Common stocks,Large cap,Industrials,"$87,631,984,828 ",0.31%,-17.4,0,2.22,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$86,060,828,110 ",1.79%,52.4,0,2.32,Analyze
MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$85,998,128,150 ",1.29%,25.92,0,7.66,Analyze
NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$83,807,780,000 ",0.00%,376.42,0,21.03,Analyze
SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$82,640,677,207 ",1.11%,38.72,0,5.28,Analyze
MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$81,758,914,833 ",7.82%,26.23,0,-44.81,Analyze
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$80,841,189,805 ",3.74%,21.34,0,1.59,Analyze
PGR,Progressive Corp,Common stocks,Large cap,Financials,"$78,194,567,009 ",0.30%,34.77,0,4.4,Analyze
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$77,328,416,551 ",0.00%,9.78,0,3.9,Analyze
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$77,248,725,565 ",0.00%,32.45,0,7.29,Analyze
SO,Southern Co,Common stocks,Large cap,Utilities,"$76,555,473,265 ",3.78%,32.19,0,2.26,Analyze
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$76,043,444,152 ",2.31%,17.28,0,3.51,Analyze
TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$75,759,228,898 ",2.37%,12.64,0,6.87,Analyze
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$75,000,305,435 ",0.81%,35.97,0,16.01,Analyze
MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$73,762,650,048 ",0.00%,5.17,0,4.43,Analyze
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$73,186,872,129 ",0.86%,10.67,0,-35.71,Analyze
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$72,729,961,148 ",1.36%,39.39,0,2.94,Analyze
ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$71,648,151,038 ",2.15%,26.06,0,19.54,Analyze
MMM,3M,Common stocks,Large cap,Industrials,"$71,585,734,922 ",4.53%,12.12,0,4.54,Analyze
NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$71,019,686,143 ",1.46%,11.91,0,5.17,Analyze
USB,US Bancorp,Common stocks,Large cap,Financials,"$70,324,025,592 ",3.91%,9.87,0,1.33,Analyze
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$69,089,063,369 ",2.06%,30.07,0,4.82,Analyze
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$68,160,090,994 ",1.23%,17.33,0,5.17,Analyze
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$66,802,339,837 ",1.71%,135.98,0,6.1,Analyze
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$66,645,443,951 ",0.00%,85.77,0,3.86,Analyze
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$66,144,321,412 ",3.61%,12.2,0,1.25,Analyze
GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$65,971,369,839 ",1.56%,19.84,0,3.61,Analyze
AON,Aon Plc,Common stocks,Large cap,Financials,"$65,607,545,711 ",0.69%,47.6,0,55.2,Analyze
ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$65,401,765,000 ",1.95%,28.25,0,3.77,Analyze
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$65,329,621,431 ",3.90%,43.11,0,7.83,Analyze
FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"$65,128,479,475 ",0.00%,38.33,0,2.08,Analyze
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$65,021,426,248 ",2.37%,31.19,0,198.58,Analyze
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$64,598,800,083 ",1.35%,14.02,0,10.57,Analyze
FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$64,391,189,955 ",1.00%,12.27,0,4.22,Analyze
SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$63,718,183,126 ",0.97%,34.67,0,28.33,Analyze
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$63,291,463,432 ",1.68%,32.46,0,8.67,Analyze
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$63,174,900,812 ",4.76%,22.96,0,2.28,Analyze
TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$63,114,272,320 ",4.14%,10.07,0,0.93,Analyze
HUM,Humana Inc,Common stocks,Large cap,Health Care,"$62,206,332,252 ",0.64%,20.22,0,4.01,Analyze
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$62,120,681,105 ",0.78%,6.83,0,1.29,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$60,474,011,000 ",0.00%,11.98,0,5.01,Analyze
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$60,116,911,399 ",1.40%,14.78,0,2.65,Analyze
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$59,996,056,955 ",0.61%,24.25,0,3.36,Analyze
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$59,527,366,073 ",1.11%,18.68,0,14.42,Analyze
OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$59,361,183,071 ",0.79%,8.95,0,2.35,Analyze
NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$59,066,221,163 ",1.93%,19.43,0,4.38,Analyze
EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$57,909,888,000 ",2.08%,18.4,0,4.99,Analyze
PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$57,825,777,825 ",10.43%,13.5,0,2.39,Analyze
MCO,Moodys Corp,Common stocks,Large cap,Financials,"$57,621,896,000 ",0.89%,29.34,0,24.22,Analyze
MPC,Marathon Petroleum Corp,Common stocks,Large cap,Energy,"$57,143,815,368 ",2.02%,5.25,0,2.37,Analyze
MET,Metlife Inc,Common stocks,Large cap,Financials,"$56,428,878,264 ",2.72%,8.25,0,1.02,Analyze
MCK,Mckesson Corp,Common stocks,Large cap,Health Care,"$54,138,168,599 ",0.53%,48.16,0,-23.62,Analyze
MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$53,259,587,913 ",0.00%,38.75,0,7.65,Analyze
VLO,Valero Energy Corp,Common stocks,Large cap,Energy,"$52,481,283,834 ",2.85%,20.59,0,2.78,Analyze
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$52,429,675,899 ",4.18%,17.33,0,1.77,Analyze
DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$52,209,187,062 ",0.94%,21.08,0,8.08,Analyze
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$51,961,537,557 ",3.71%,39.66,0,0.98,Analyze
GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"$51,869,639,693 ",0.49%,5.85,0,0.83,Analyze
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$51,209,778,591 ",0.62%,34.01,0,28.54,Analyze
PSA,Public Storage,REITs,Large cap,Real Estate,"$51,087,937,918 ",2.67%,26.77,0,5.18,Analyze
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$51,028,778,143 ",0.00%,23.49,0,-153.47,Analyze
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$50,750,353,086 ",0.00%,50.73,0,9.19,Analyze
SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$50,554,234,771 ",2.82%,49.65,0,8.53,Analyze
KDP,Keurig Dr Pepper Inc.,Common stocks,Large cap,Consumer Staples,"$50,546,009,147 ",2.15%,20.56,0,1.94,Analyze
F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$50,239,446,533 ",3.88%,4.24,0,1.09,Analyze
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$48,734,831,222 ",3.30%,18.55,0,884.48,Analyze
PSX,Phillips 66,Common stocks,Large cap,Energy,"$48,695,296,905 ",3.66%,19.05,0,2.23,Analyze
GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$48,648,780,260 ",2.56%,20.09,0,4.59,Analyze
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$48,561,145,667 ",1.80%,15.19,0,1.97,Analyze
EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$48,415,979,677 ",0.00%,31.47,0,8.28,Analyze
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$47,855,342,444 ",1.97%,4.74,0,0.83,Analyze
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$47,827,748,180 ",1.00%,27.84,0,7.31,Analyze
ROP,Roper Technologies Inc,Common stocks,Large cap,Information Technology,"$47,827,355,313 ",0.56%,16.1,0,3.43,Analyze
FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"$47,609,672,518 ",2.21%,9.23,0,1.93,Analyze
JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$47,265,828,680 ",2.02%,36.79,0,2.75,Analyze
HES,Hess Corp,Common stocks,Large cap,Energy,"$46,927,631,610 ",0.98%,64.2,0,7.37,Analyze
HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$46,473,178,800 ",1.70%,27.52,0,15.25,Analyze
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$46,459,624,517 ",0.54%,37.86,0,8.85,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$46,430,726,160 ",0.00%,62.4,0,16.82,Analyze
KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$46,179,043,222 ",3.35%,25.57,0,63.59,Analyze
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$45,619,465,433 ",0.93%,37.79,0,13.85,Analyze
TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"$45,444,672,048 ",1.88%,10.96,0,1.69,Analyze
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$45,297,296,596 ",2.18%,11,0,1.51,Analyze
CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"$44,812,938,240 ",0.92%,25.51,0,1.71,Analyze
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$44,524,551,989 ",1.95%,29.14,0,6.8,Analyze
MSI,Motorola Solutions Inc,Common stocks,Large cap,Information Technology,"$44,477,725,626 ",1.22%,33.87,0,-135.91,Analyze
AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$44,453,622,718 ",0.00%,18.27,0,-14.03,Analyze
ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$43,985,997,306 ",1.33%,38.64,0,6.05,Analyze
CNC,Centene Corp,Common stocks,Large cap,Health Care,"$43,624,646,749 ",0.00%,8.52,0,1.57,Analyze
PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$43,367,730,390 ",2.49%,31.09,0,12.86,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$43,280,801,621 ",0.00%,87.08,0,50.97,Analyze
NEM,Newmont Corporation,Common stocks,Large cap,Materials,"$43,139,700,030 ",3.98%,38.77,0,1.91,Analyze
EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$43,108,529,261 ",3.08%,16.63,0,1.84,Analyze
KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$42,369,938,038 ",5.72%,39.61,0,1.35,Analyze
CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$42,262,775,722 ",0.00%,61.26,0,19.64,Analyze
TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"$42,217,630,430 ",1.45%,27.63,0,6.67,Analyze
LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$42,006,219,312 ",0.00%,22.5,0,9.18,Analyze
DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$41,897,418,819 ",0.00%,197.91,0,19.14,Analyze
DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"$41,568,783,000 ",4.02%,11.42,0,4.4,Analyze
STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$41,512,099,275 ",1.40%,93.81,0,3.45,Analyze
O,Realty Income Corporation,REITs,Large cap,Real Estate,"$41,511,314,060 ",4.40%,89.48,0,1.62,Analyze
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$41,478,164,408 ",0.00%,28.61,0,3.69,Analyze
AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$41,440,602,000 ",1.03%,42.02,0,4.5,Analyze
FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$41,388,217,056 ",2.67%,45.41,0,0.88,Analyze
ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$41,327,964,790 ",1.03%,35.56,0,9.96,Analyze
DOW,Dow Inc.,Common stocks,Large cap,Materials,"$41,296,593,905 ",4.68%,5.8,0,2.12,Analyze
IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$41,260,288,709 ",0.00%,37.97,0,6.92,Analyze
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$41,206,652,553 ",1.54%,31.62,0,6.9,Analyze
SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$41,054,582,976 ",5.37%,17.95,0,12.28,Analyze
PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$40,767,535,535 ",1.56%,23.35,0,4.41,Analyze
SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$40,708,635,364 ",2.39%,39.18,0,29.65,Analyze
NUE,Nucor Corp,Common stocks,Large cap,Materials,"$40,421,026,948 ",1.27%,4.9,0,2.57,Analyze
MSCI,MSCI Inc,Common stocks,Large cap,Financials,"$40,398,063,790 ",0.90%,53.44,0,-46.05,Analyze
WMB,Williams Inc,Common stocks,Large cap,Energy,"$39,973,729,757 ",5.09%,26.29,0,3.41,Analyze
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$39,675,947,760 ",0.00%,54.01,0,62.01,Analyze
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$39,629,965,899 ",2.86%,11.73,0,0.95,Analyze
RSG,Republic Services Inc,Common stocks,Large cap,Industrials,"$39,465,356,897 ",1.52%,28.66,0,4.3,Analyze
TEL,TE Connectivity Ltd,Common stocks,Large cap,Information Technology,"$39,412,725,147 ",1.74%,15.64,0,3.75,Analyze
COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$39,257,698,130 ",2.30%,3.52,0,0.69,Analyze
XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$38,947,675,460 ",2.71%,23.3,0,2.39,Analyze
HAL,Halliburton,Common stocks,Large cap,Energy,"$38,737,275,507 ",1.12%,23.79,0,5.25,Analyze
